product_id,product_category,product_name,product_price,style_id,color_id,product_colors,Fit,Composition,scrapy_datetime
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,1024256,001,Denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",2022-03-11 21:11:24.210824
